deployment_id,station,region,longitude,latitude,receiver_model,receiver_id,mooring_type,depth,deployment_time_utc,recovery_time_utc,salinity_psu
11,MA01,"Mallorca (Balearic Islands, Spain)",2.472,39.463,TBR 700,1636,bottom-mooring-buoy,20.1,2021-10-26T00:00:00Z,2021-11-07T00:00:00Z,37
42,MA02,"Mallorca (Balearic Islands, Spain)",2.639,39.334,TBR 800,2655,surface-buoy-fad,5,2022-09-22T08:30:00Z,2022-10-05T00:00:00Z,37
50,MA03,"Mallorca (Balearic Islands, Spain)",2.724,39.466,TBR 700,1633,bottom-mooring,17.1,2022-11-29T00:00:00Z,2022-12-11T00:00:00Z,37
68,MA03,"Mallorca (Balearic Islands, Spain)",2.724,39.466,TBR 700,1644,bottom-mooring-buoy,17.1,2023-09-14T00:00:00Z,2023-09-26T00:00:00Z,37
79,MA04,"Mallorca (Balearic Islands, Spain)",2.736,39.446,TBR 800,2654,bottom-mooring-buoy,20,2023-06-02T00:00:00Z,2023-06-11T00:00:00Z,37
14,CI01,"Cies Archipelago (Galicia, Spain)",-8.899,42.213,TBR 700,1264,bottom-mooring,12,2022-06-20T00:00:00Z,2022-06-28T00:00:00Z,35
15,CI02,"Cies Archipelago (Galicia, Spain)",-8.899,42.213,TBR 700,1243,bottom-mooring,12,2022-06-20T00:00:00Z,2022-06-28T00:00:00Z,35
23,CI05,"Cies Archipelago (Galicia, Spain)",-8.899,42.213,TBR 700,1249,bottom-mooring,12,2022-06-20T00:00:00Z,2022-06-28T00:00:00Z,35
25,CI07,"Cies Archipelago (Galicia, Spain)",-8.899,42.213,TBR 700,1244,bottom-mooring,12,2022-06-20T00:00:00Z,2022-06-28T00:00:00Z,35
19,CI03,"Cies Archipelago (Galicia, Spain)",-8.899,42.213,TBR 700,1204,bottom-mooring,12,2022-06-20T00:00:00Z,2022-06-28T00:00:00Z,35
24,CI06,"Cies Archipelago (Galicia, Spain)",-8.899,42.213,TBR 700,1257,bottom-mooring,12,2022-06-20T00:00:00Z,2022-06-28T00:00:00Z,35
21,CI04,"Cies Archipelago (Galicia, Spain)",-8.899,42.213,TBR 700,1240,bottom-mooring,12,2022-06-20T00:00:00Z,2022-06-28T00:00:00Z,35
